"ObjectId","Displayname","Skuid","SKUName","ServicePlanName","ServicePlanId","capabilityStatus","DisabledServicePlanName","DisabledServicePlan"
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","INSIDER_RISK_MANAGEMENT","9d0c4ee5-e4a1-4625-ab39-d82b619b1a34","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","INTUNE_A","c1ec4a95-1f05-45b3-a911-aa3fa01094f5","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","LOCKBOX_ENTERPRISE","9f431833-0334-42de-a7dc-70aa40db46db","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","M365_ADVANCED_AUDITING","2f442157-a11c-46b9-ae5b-6e39ff4e5849","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","MCOEV","4828c8ec-dc2e-4779-b502-87ac9ce28ab7","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","MCOSTANDARD","0feaeb32-d00e-4d66-bd5a-43b5b83db82c","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","MFA_PREMIUM","8a256a2b-b617-496d-b51b-e76466e88db0","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","MICROSOFT_COMMUNICATION_COMPLIANCE","a413a9ff-720c-4822-98ef-2f37c2a21f4c","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","MICROSOFTBOOKINGS","199a5c09-e0ca-4e37-8f7c-b05d533e1ea2","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","MIP_S_CLP1","5136a095-5cf0-4aff-bec3-e84448b38ea5","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","MIP_S_CLP2","efb0351d-3b08-4503-993d-383af8de41e3","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","MIP_S_Exchange","cd31b152-6326-4d1b-ae1b-997b625182e6","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","ML_CLASSIFICATION","d2d51368-76c9-4317-ada2-a12c004c432f","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","MTP","bf28f719-7844-4079-9c78-c1307898e192","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","OFFICESUBSCRIPTION","43de0ff5-c92c-492b-9116-175376d08c38","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","PAM_ENTERPRISE","b1188c4c-1b36-4018-b48b-ee07604f6feb","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","POWER_VIRTUAL_AGENTS_O365_P3","ded3d325-1bdc-453e-8432-5bac26d7a014","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","POWERAPPS_O365_P3","9c0dab89-a30c-4117-86e7-97bda240acd2","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","PROJECT_O365_P3","b21a6b06-1988-436e-a07b-51ec6d9f52ad","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","PROJECTWORKMANAGEMENT","b737dad2-2f6c-4c65-90e3-ca563267e8b9","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","RECORDS_MANAGEMENT","65cc641f-cccd-4643-97e0-a17e3045e541","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","RMS_S_ENTERPRISE","bea4c11e-220a-4e6d-8eb8-8ea15d019f90","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","RMS_S_PREMIUM","6c57d4b6-3b23-47a5-9bc9-69f17b4947b3","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","RMS_S_PREMIUM2","5689bec4-755d-4753-8b61-40975025187c","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","SAFEDOCS","bf6f5520-59e3-4f82-974b-7dbbc4fd27c7","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","SHAREPOINTENTERPRISE","5dbe027f-2339-4123-9542-606e4d348a72","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","SHAREPOINTWAC","e95bec33-7c88-4a70-8e19-b10bd9d0c014","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","STREAM_O365_E5","6c6042f5-6f01-4d67-b8c1-eb99d36eed3e","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","SWAY","a23b959c-7ce8-4e57-9140-b90eb88a9e97","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","TEAMS1","57ff2da0-773e-42df-b2af-ffb7a2317929","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","THREAT_INTELLIGENCE","8e0c0a52-6a6c-4d40-8370-dd62790dcd70","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","VIVA_LEARNING_SEEDED","b76fb638-6ba6-402a-b9f9-83d28acb3d86","Enabled",,
"e9d37dda-8a73-4d96-a29f-69ea108fa814","mk one","c42b9cae-ea4f-4ab7-9717-81576235ccac","DEVELOPERPACK_E5","WHITEBOARD_PLAN3","4a51bca5-1eff-43f5-878c-177680f191af","Enabled",,
